Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
DOMINOS PIZZA;;Restauration rapide;;32 Avenue de Nantes;;44310;;;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.0472703;-1.6368841;;;02 40 16 20 20;;;;;;;;;;;;;;;;;;;;;;;;;oui;||||ouvert tous les jours, le midi et le soir||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Tickets Restaurant;47.0472703, -1.6368841;Loire-Atlantique
DOUCEURS DU LITTORAL;Restaurant;;;3 Avenue Alphonse Daudet;;44420;;;PIRIAC-SUR-MER;44125;47.37894;-2.54692;;06 77 30 10 17;;;ddl.varo@orange.fr;;;;;;;;;oui;;;Service en terrasse,WiFi;20;;10;;;;;;;;;;;;;;Cartes bancaires,Espèces;47.37894, -2.54692;Loire-Atlantique
ESPRIT PIZZA;Restaurant;Restauration rapide;;1 Rue d'Anjou;;44390;;;NORT-SUR-ERDRE;44110;47.4367042;-1.481619;;;02 28 24 88 88;;;;;"Facebook||https://fr-fr.facebook.com/espritpizza ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g2544622-d5799667-Reviews-Esprit_pizza-Nort_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html ; Instagram||https://www.instagram.com/espritpizza/";;;;;;;;;Plats à emporter;;;;;;;Français;;;;oui;;||02 28 24 88 88||;;;;Cartes bancaires,Chèques bancaires et postaux;47.4367042, -1.481619;Loire-Atlantique
FLUNCH;Restaurant;Cafétéria;;;;44570;;;TRIGNAC;44210;47.3026679;-2.2101952;"Gare SNCF||||1,5 ; Transport en commun||Ligne Hélyce - Arrêt Fontaine aux brunx||0,65";;02 40 90 40 69;02 40 90 27 24;s1012fr1-d@flunch.fr;www.flunch.fr;;Facebook||https://www.facebook.com/FlunchTrignac44570/;;;;;;oui;;;Plats à emporter,Traiteur,WiFi;423;;80;;;;Anglais,Français;oui;;;oui;01/01/2023||31/12/2023||Ouvert du lundi au dimanche||Ouvert 7j/7||11:30||14:30||18:00||21:30||11:30||14:30||18:00||21:30||11:30||||||21:30||11:30||14:30||18:00||21:30||11:30||14:30||18:00||21:30||11:30||14:30||18:00||21:30||11:30||14:30||18:00||21:30;||02 40 90 40 69||;oui;||https://click.flunch.fr/?utm_source=restaurant.flunch.fr&utm_medium=preheader&utm_campaign=reprise_service||||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.3026679, -2.2101952;Loire-Atlantique
FOURCHETTE ET BICYCLETTE;Restaurant;Restauration rapide;;106 avenue Albert de Mun;;44600;;;SAINT-NAZAIRE;44184;47.2792918;-2.2165548;;06 27 59 38 20;;;contact@fourchette-et-bicyclette.fr;https://fourchette-et-bicyclette.fr/;;Facebook||https://www.facebook.com/fourchette.et.bicyclette.saint.nazaire/;;;;;;;;;Banquet,Livraison à domicile / Covid-19,Plats à emporter,Plats à emporter / Covid-19,Séminaire,Traiteur;;;;;;;Anglais,Français;;;;oui;01/01/2023||31/12/2023||Ouvert le midi du mardi au vendredi, et le soir du mardi au jeudi. ||Fermé le lundi, samedi et dimanche||||||||||11:30||13:30||17:30||19:00||11:30||13:30||17:30||19:00||11:30||13:30||17:30||19:00||11:30||13:30||||||||||||||||||||;Claire Chevallereau||06 27 59 38 20||contact@fourchette-et-bicyclette.fr;;;"Plats à la carte||9,50||||Menu plat + entrée/dessert : 10,5€TTC;Menu entrée + plat + dessert : 12,50€TTC;Boisson : 2€TTC ; Menu adulte du jour (midi en semaine)||13,00||16,50||";Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2792918, -2.2165548;Loire-Atlantique
GAËLIC'S PUB;Restaurant;;;Place de l'Eglise;;44410;;;SAINT-LYPHARD;44175;47.39826;-2.30582;;;02 40 91 46 52;;gaelicspub@orange.fr;http://www.bar-saint-lyphard.fr/;;;;;;;;oui;;;Service en terrasse,WiFi;60;;100;;;;Allemand,Anglais,Espagnol;;;;;01/01/2022||31/12/2022||Fermeture pour vacances du 23/04 au 10/05.||||||||||||||||||||17:00||00:00||||||17:00||00:00||||||17:00||02:00||||||17:00||02:00||||||17:00||00:00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.39826, -2.30582;Loire-Atlantique
GENES KEBAB;;Restauration rapide;3 Rue d'Anjou;;;44140;;;GENESTON;44223;47.05578;-1.51194;;;09 62 51 43 90;;;;;;;;;;;;;;;;;;;;;;;;;;||||Ouvert midi et soir. Fermé le dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||06 32 51 43 90||;;;;;47.05578, -1.51194;Loire-Atlantique
GLOUGLOU CAVE À MANGER;Restaurant;Cuisine traditionnelle;;63 avenue du Général De Gaulle;;44380;;;PORNICHET;44132;47.26681;-2.34111;;;02 40 61 75 15;;contact@glouglou-pornichet.com;http://www.glouglou-pornichet.com;;;;;;;;;;;;;;;;;;;;;;;"01/10/2022||31/12/2022||||||||||||||18:00||01:00||||||18:00||01:00||||||18:00||01:00||||||18:00||01:00||||||18:00||01:00|||||||||||| ; 01/01/2023||31/12/2023||||||||||||||18:00||01:00||||||18:00||01:00||||||18:00||01:00||||||18:00||01:00||||||18:00||01:00||||||||||||";;;;;Cartes bancaires,Espèces;47.26681, -2.34111;Loire-Atlantique
GUINGUETTE CHEZ JOSY;Restaurant;Guinguette;;Rousselin;;44190;;;BOUSSAY;44022;47.0422296;-1.2020292;;;02 40 57 89 72;;aubergedeboussay@orange.fr;;https://youtu.be/Dy0iIeFpvvo;;;;;;;oui;;;Banquet,Service en terrasse;;;;;0;;;oui;0;100;non;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.0422296, -1.2020292;Loire-Atlantique
GUINGUETTE LE CREPUSCULE - TEILLÉ;Restaurant;Guinguette;;;;44440;;;TEILLE;44202;47.461595;-1.279735;Route (nationale/départ.)||RD723||3;06786945407;;;lecrepuscule@gmail.com;;;Facebook||https://www.facebook.com/laguinchettemontrelais;;;;;;oui;tenue en laisse;;Plats à emporter;;;;;;;Français;oui;;;non;;;;;;Cartes bancaires,Espèces;47.461595, -1.279735;Loire-Atlantique
HASHTAG PIZZA;Restaurant;Restauration rapide;;8 Avenue du Maréchal Foch;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.24636;-2.16693;;;02 28 53 78 40;;;;;;;;;;;;;;;;;;;;;;;;;;"01/01/2018||31/12/2018||Le spectacle ! horaire sous réserve de modification...||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30|||||||||||| ; 01/01/2018||31/12/2018||||||18:00||23:00||||||18:00||23:00||||||18:00||23:00||||||18:00||23:00||||||18:00||23:00||||||18:00||23:00||||||18:00||23:00||||";;;;;Cartes bancaires,Tickets Restaurant;47.24636, -2.16693;Loire-Atlantique
IZAKAYA JOYI;Restaurant;Cuisine du Monde;;4 rue de Colmar;;44000;;;NANTES;44109;47.2120856;-1.5464555;;;02 28 29 35 71;;contact.nantes@joyi.fr;www.izakayajoyi.fr;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/243538||||||;;;47.2120856, -1.5464555;Loire-Atlantique
JANO;Restaurant;Cuisine traditionnelle;;47 promenade Bellevue;;44980;;;SAINTE-LUCE-SUR-LOIRE;44172;47.2371386;-1.4720938;"Gare SNCF||Nantes||7 ; Route (nationale/départ.)||Périphérique ||1 ; Transport en commun||Bus ligne 80||-20,7";;02 40 25 85 60;;jano.nantes@gmail.com;https://restaurant-jano.fr/;;;;;Les Tables de Nantes;;;;;;Banquet,Séminaire,Service en terrasse,WiFi;80;2;30;1;0;;Anglais;oui;20;80;oui;;||02 40 25 85 60||jano.nantes@gmail.com;;;Menu adulte du jour (midi en semaine)||||||Deux formules le midi (entrée/plat ou plat/dessert et entrée/plat/dessert) + plats à la carte au dîner;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2371386, -1.4720938;Loire-Atlantique
KEBAB YASMINE FOOD;Restaurant;Restauration rapide;;2 place du Maquis de Saffré;;44130;;;BLAIN;44015;47.4760412;-1.7629514;"Gare SNCF||Gare de Nantes||38 ; Route (nationale/départ.)||RN 137||13 ; Route (nationale/départ.)||RN 171||1 ; Transport en commun||Lignes LILA 11 et 71, arrêt ""Pl Jollan""||0,2 ; Halte fluviale||Port de Blain||1";02 44 04 04 16;;;;;;;;;;;;;;;Plats à emporter;;1;;;;;;;;;oui;;;;;;;47.4760412, -1.7629514;Loire-Atlantique
L'AIR BLEU;Restaurant;Cuisine traditionnelle;;3 Rue Anatole France;;44550;;;MONTOIR-DE-BRETAGNE;44103;47.30221;-2.17619;Transport en commun||Ligné Hélyce - Arrêt Méan||1,1;;02 40 90 01 17;;;;;;;;;;;;;;Plats à emporter,Service en terrasse;;;;;;;;oui;;;oui;01/01/2023||31/12/2023||Ouvert du lundi au vendredi||Fermé le samedi et le dimanche||06:30||||||19:00||06:30||||||19:00||06:30||||||19:00||06:30||||||19:00||06:30||||||19:00||||||||||||||||;;;;;Cartes bancaires,Espèces;47.30221, -2.17619;Loire-Atlantique
L'AMENITE;Restaurant;Cuisine traditionnelle;;4 rue Fénelon;;44100;;;NANTES;44109;47.2171751;-1.5541604;;;02 40 20 03 46;;;;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.2171751, -1.5541604;Loire-Atlantique
L'AMUZ BOUCHE;Restaurant;Restauration rapide;;8 rue de Nantes;Chéméré;44680;;;CHAUMES-EN-RETZ;44005;47.12245;-1.91364;;;09 83 65 90 59;;;;;;;;;;;;;;Plats à emporter;15;;;;;;;;;;;;;;;;;47.12245, -1.91364;Loire-Atlantique
L'ATLANTIDE 1874;Restaurant;Restaurant gastronomique - cuisine raffinée;;5 rue de L'Hermitage;;44000;;;NANTES;44109;47.2062429;-1.5738534;;;02 40 73 23 23;;;http://www.restaurant-atlantide.net;;;;;Bottin Gourmand,Champerard,Gault Millau,Le petit futé,Les Tables de Nantes,Michelin,Pudlowski;;;oui;;Tables et Auberges de France;Banquet,Plats à emporter,Séminaire,Traiteur,WiFi;50;2;0;2;2;;Anglais,Français;oui;;;non;;;oui;||http://www.nantes-tourisme.com/book/116423||||||;;Cartes bancaires;47.2062429, -1.5738534;Loire-Atlantique
L'AUBERGE DU VIEUX GACHET;Restaurant;Restaurant gastronomique - cuisine raffinée;;Le Vieux Gachet;;44470;;;CARQUEFOU;44026;47.296788;-1.53043;;;"02 40 25 10 92;";;;http://www.aubergeduvieuxgachet.com;;;;;Gault Millau,Guide du Routard Pays de la Loire,Les Tables de Nantes,Michelin;;;oui;;Maitres Restaurateurs;Séminaire,Service en terrasse,WiFi;180;2;100;1;1;;;oui;1;120;oui;;;oui;||http://www.nantes-tourisme.com/book/556177||||||;"Menu adulte soir et week-end||||||MENU DE SAISON servi tous les jours midi et soir;Foie gras de canard confit au porto, condiments fruits secs;___________;Cabillaud, agria aux herbes et olives taggiasca, salade croquante, espuma sobrassada;___________;Coque marron et glace marron  ; Menu adulte du jour (midi en semaine)||||||Menu au Fil de l'Eau servi le midi du mardi au vendredi sauf jours fériés;2 entrée au choix;1poisson ou 1 viande au choux;1 assiette de fromage ou le dessert du jour; ; Menu adulte soir et week-end||||||MENU GOURMET servi tous les jours ;Brochette de St Jacques, patate douce, citronnelle gingembre;Dos de bar, betterave fumée, chou pak-choï, beurre au vin rouge;Filet de boeuf VBF, pommes anna, asperges vertes;L'Incontournable au croustillant pralin ; Menu adulte soir et week-end||||||MENU DEGUSTATION servi tous les jours;Carpaccio de St Jacques, jus de truffe;Foie gras chaud, pomme reinette, salade d'herbes;Dos de bar, betterave fumée, beurre au vin rouge;Magret de canard Apicius, navets braisés, datte medjoul ;Eclair passion ; ; Plats à la carte||||||ENTREES;Brochette de Saint Jacques, patate douce, émulsion gingembre citronnelle 20€;Tartare de bar à l'huile d'olive, yuzu, main de Bouddha 20€;Croustillant de homard, sauce armoricaine 25€;Foie gras de canard confit au porto, condiments fruits secs ; Plats à la carte||||||PLATS;Homard rôti, beurre d'herbes 12€ les 100g;Filet de bar, grenaille, beurre citronné 40€;St Jacques, polenta snakée 30€;Cabillaud, agria aux herbes, émulsion sobrassada 30€;Ris de veau , jus au vieux porto 40€;Filet de boeuf VBF rossini 35€ ; Menu adulte soir et week-end||||||DESSERTS;Kouign-aman au blé noir, glace vanille 18€;Baba au rhum, crème battue vanille 16€;Incontournable croustillant pralin 14€;Sorbet et glaces maison, fruits secs 12€ ; Menu adulte du jour (midi en semaine)||||||Menu au Fil de l'Eau servi le midi du mardi au vendredi sauf jours fériés;2 entrée au choix;1poisson ou 1 viande au choux;1 assiette de fromage ou le dessert du jour; ; Menu adulte du jour (midi en semaine)||||||Menu au Fil de l'Eau servi le midi du mardi au vendredi sauf jours fériés;2 entrée au choix;1poisson ou 1 viande au choux;1 assiette de fromage ou le dessert du jour;";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.296788, -1.53043;Loire-Atlantique
L'AUTHENTIK;Restaurant;Cuisine traditionnelle;;97 rue Jean Jaurès;;44550;;;MONTOIR-DE-BRETAGNE;44103;47.3265;-2.14827;;;02 40 45 42 82;;;;;Facebook||https://www.facebook.com/LAuthentik-1352530934818016;;;;;;oui;;;Plats à emporter,Plats à emporter / Covid-19,WiFi;48;2;24;0;0;;Anglais,Français;oui;18;30;oui;01/01/2023||31/12/2023||Ouvert tous les midis du lundi au vendredi||Fermé le samedi et le dimanche||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||13,50||15,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant,Virement;47.3265, -2.14827;Loire-Atlantique
L'AUTRE QUAI;Restaurant;Cuisine traditionnelle;;11 quai du Commandant l'Herminier;;44210;;;PORNIC;44131;47.11411;-2.10124;;;02 40 82 15 57;;cl.gueguen@gmail.com;;;;;;;;;non;;;WiFi;20;1;15;;;;;oui;;30;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.11411, -2.10124;Loire-Atlantique
L'ITINÉRAIRE;Restaurant;Brasserie;;Avenue du General de Gaulle;;44119;;;TREILLIERES;44209;47.327439;-1.622353;;06 73 97 63 09;;;;http://www.litineraireresto.com/;;"Facebook||https://www.facebook.com/litinerairerestaurant/?ref=py_c ; Instagram||https://www.instagram.com/l_itineraire/";;;;;;;;;Climatisation,Service en terrasse,WiFi;70;1;60;;;;;oui;;;oui;;;;;;;47.327439, -1.622353;Loire-Atlantique
L'OCÉANIDE;;Restaurant gastronomique - cuisine raffinée;;2 Rue Paul Bellamy;;44000;;;NANTES;44109;47.2206014;-1.5551564;;;02 40 20 32 28;;;http://www.restaurant-oceanide.com;;;;;Bottin Gourmand,Champerard,Gault Millau,Les Tables de Nantes,Michelin;;;;;;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/116422||||||;;;47.2206014, -1.5551564;Loire-Atlantique
L'ODELYSS;Restaurant;Brasserie;2 bis rue du Bois Fleuri;;;44650;;;LEGE;44081;46.8934693;-1.6013739;;;02 28 00 10 72;;lodelyss@orange.fr;https://www.lodelyss.fr;;;;;;;;non;;;Banquet,Plats à emporter,Service en terrasse,Traiteur;50;1;25;;1;;Anglais,Français;oui;10;48;oui;01/01/2023||31/12/2023||||||||||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||18:00||22:00||18:00||21:00||||||||||||;||02 28 00 10 72||lodelyss@orange.fr;;;;Cartes bancaires,Chèques Vacances,Espèces;46.8934693, -1.6013739;Loire-Atlantique
L'ÉCAILLEUR;Restaurant;;;37 Avenue des Ibis;;44500;;;LA BAULE-ESCOUBLAC;44055;47.2856084;-2.394468;;;02 40 60 87 94;;lecailleurlabaule@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||07:00||14:00||||||07:00||14:00||||||07:00||14:00||||||07:00||14:00||||||07:00||14:00||||||07:00||14:00||||;;;;;;47.2856084, -2.394468;Loire-Atlantique
L'Ô BEN;Restaurant;Brasserie;;39 avenue des sports;;44410;;;HERBIGNAC;44072;47.44415;-2.32317;;;09 88 51 64 20;;benj.roussel1@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.44415, -2.32317;Loire-Atlantique
LA BERGERIE;Restaurant;Grill - Rôtisserie;;114 avenue du Général de Gaulle;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28569;-2.39154;;;02 40 60 23 41;02 40 60 23 41;info@labergerielabaule.fr;http://labergerielabaule.fr/fr;;;;;Guide du Routard Pays de la Loire,Le petit futé;;;oui;;;Séminaire,Service en terrasse,WiFi;80;1;6;;;;Anglais,Espagnol;oui;;50;;01/01/2023||31/12/2023||||||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||||||||||||||||||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.28569, -2.39154;Loire-Atlantique
LA BOSSELLE;Restaurant;Cuisine traditionnelle;;8 Rue du Port;;44310;;;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.0401254;-1.6424674;"Aéroport/aérodrome||Aéroport Nantes Atlantique||24 ; Transport en commun||LILA 12/12 S - Arrêt ""Rue du Port""||0,04";;02 40 78 73 47;;restaurant@labosselle.fr;http://www.labosselle.fr;;Facebook||https://www.facebook.com/pages/H%C3%B4tel-Restaurant-La-Bosselle/155987004419926;;;;;;non;;;Banquet,Séminaire,Service en terrasse,WiFi;;;;;;;Anglais,Français;;;;oui;01/01/2023||31/12/2023||Du mardi au dimanche le midi. Du mercredi au samedi  le soir.||Fermé le lundi.||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Accueil||02 40 78 73 47||;;;;;47.0401254, -1.6424674;Loire-Atlantique
LA BRASSERIE GOLDEN TULIP PORNIC;Restaurant;Cuisine traditionnelle;;Rue Jules Ferry;Val Saint-Martin;44210;;;PORNIC;44131;47.12111;-2.0847;;;02 51 74 32 00;;restaurant@gtpornic.fr;https://pornic.goldentulip.com/fr-fr/;;;;;;;;non;;;Banquet,Séminaire,WiFi;100;;20;6;;;;oui;10;100;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.12111, -2.0847;Loire-Atlantique
LA CABANA SAINT-MICHEL;Restaurant;;;Port Saint-Michel;;44740;;;BATZ-SUR-MER;44010;47.27394;-2.48133;;;06 41 17 29 19;;sam.cappelier@gmail.com;;;;;;;;;;;;Service en terrasse;;;;;;;;;;;;01/09/2021||30/09/2021||||||||||||||||||||||||||||||||||||||10:00||20:30||||||10:00||20:30||||||10:00||20:30||||;;;;;Cartes bancaires,Espèces;47.27394, -2.48133;Loire-Atlantique
LA CABRERA;Restaurant;Pizzeria;;1 rue des Chantiers - Méan Penhoët;;44600;;;SAINT-NAZAIRE;44184;47.2900729;-2.1936967;"Transport en commun||Ligne Hélyce - Arrêt: Chantiers navals||0,11 ; Gare SNCF||||2";;02 40 22 26 40;;;;;Facebook||https://fr-fr.facebook.com/pages/La-Cabrera/848849795131322;;;;;;non;;;Plats à emporter,Plats à emporter / Covid-19;78;;40;;;;Anglais,Italien,Russe;;;20;oui;01/01/2023||31/12/2023||Ouvert du lundi au samedi||Fermé le dimanche||11:30||13:30||18:30||22:00||11:30||13:30||18:30||22:00||11:30||13:30||18:30||22:00||11:30||13:30||18:30||22:00||11:30||13:30||18:30||22:00||11:30||13:30||18:30||22:00||||||||;||02 40 22 26 40||;;;"Menu enfant||6,50|||| ; Plats à la carte||8,00||14,00||";Cartes bancaires,Tickets Restaurant;47.2900729, -2.1936967;Loire-Atlantique
LA CANTINE DU GENERAL;Restaurant;Cuisine traditionnelle;36 boulevard de Launay;;;44100;;;NANTES;44109;47.2112984;-1.5757685;;;02 28 00 63 84;;;http://www.lacantinedugeneral.fr;;;;;Bottin Gourmand;;;;;;Service en terrasse;90;2;35;;;;Anglais,Français;oui;;50;oui;;;oui;||http://www.nantes-tourisme.com/book/395237||||||;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.2112984, -1.5757685;Loire-Atlantique
LA CANTINE DU JARDIN;Restaurant;Restauration rapide;;36 Avenue Albert de Mun;;44600;;;SAINT-NAZAIRE;44184;47.2784075;-2.2092834;"Transport en commun||Lignes U4, S/D - arrêt : Albert De Mun|| ; Transport en commun||Zenibus - arrêt : Albert De Mun|| ; Gare SNCF||||0,95";;;;contact@lejardin-sn.fr;www.lejardin-sn.fr;;Facebook||https://www.facebook.com/lejardinsaintnazaire;;;;;;non;;;Livraison à domicile / Covid-19,Plats à emporter,Plats à emporter / Covid-19,Séminaire,Service en terrasse,Traiteur,WiFi;30;1;12;1;;;Anglais,Français;non;;20;oui;01/01/2023||31/12/2023||Ouvert du mardi au samedi||Fermé le lundi et dimanche||||||||||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||||||||;Thomas Barreau||06 85 30 34 00||;;;Plats à la carte||8,00||9,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.2784075, -2.2092834;Loire-Atlantique
LA CARAVELLE;Restaurant;;;21 avenue du Littoral;;44380;;;PORNICHET;44132;47.24534;-2.31804;;;02 40 61 09 10;;la.caravelle0085@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.24534, -2.31804;Loire-Atlantique
LE MANÈGE;Restaurant;Cuisine traditionnelle;;15 Avenue du Commandant L'Herminier;;44600;;;SAINT-NAZAIRE;44184;47.2854752;-2.2134055;"Gare SNCF||GARE SNCF/POLE D'ECHANGE MULTIMODAL||0,16 ; Transport en commun||Ligne Hélyce - Arrêt Gare SNCF||0,16";;02 40 66 08 98;;laure.maurin58@hotmail.fr;https://www.le-manege-restaurant-saint-nazaire.com/;;Facebook||https://www.facebook.com/Restaurant-le-man%C3%A8ge-1404435693191381/timeline?ref=page_internal;;;Le petit futé;;;oui;;;Plats à emporter / Covid-19,WiFi;69;;25;;;;Français;oui;;35;non;01/01/2023||31/12/2023||Ouvert du lundi au vendredi (12h - 15h), et du jeudi au samedi (19h - 22h)||Fermé tous les soirs du lundi au mercredi, et le dimanche entier||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||19:00||22:00||12:00||15:00||19:00||22:00||||||19:00||21:30||||||||;||02 40 66 08 98||;;;"Menu adulte du jour (midi en semaine)||15,50||18,70|| ; Menu adulte soir et week-end||20,50||34,00||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.2854752, -2.2134055;Loire-Atlantique
LE MARCHAND DE VIN;Restaurant;Bistrot / bar à vin;;Zone Artisanale du Clair de Lune;;44360;;;SAINT-ETIENNE-DE-MONTLUC;44158;47.281753;-1.733444;;;02 40 43 57 22;;anne.lemarchand@groupe-lem.com;https://www.lemarchandevin.com/;;Facebook||https://www.facebook.com/lemarchandevin/;;;;;;;;;Plats à emporter / Covid-19;;;;;;;;;;;;;;;;;;47.281753, -1.733444;Loire-Atlantique
LE PALUDIER;Restaurant;Restaurant gastronomique - cuisine raffinée;;Lycée Professionnel Olivier Guichard;12 rue de la Fauvette;44350;;;GUERANDE;44069;47.34098;-2.42358;;;02 40 24 93 10;;lepaludier.oguichard@ac-nantes.fr;http://www.lycee-olivier-guichard.fr/prestation/restaurant-le-paludier/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.34098, -2.42358;Loire-Atlantique
LE PANORAMA;Restaurant;Cuisine traditionnelle;ZA le Forêt;;;44140;;;LE BIGNON;44014;47.11877;-1.49595;;;02 40 26 19 09;;contact@lepanorama.fr;www.lepanorama.fr;;Facebook||https://www.facebook.com/Panorama.Restaurant.Dansant.Animation/;;;;;;;;;Séminaire,Service en terrasse,Traiteur;;;;;;;Français;oui;;;oui;01/01/2023||31/12/2023||Du lundi au vendredi le midi. Samedi soir sur résevation.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Accueil||02 40 26 19 09||contact@lepanorama.fr;;;;;47.11877, -1.49595;Loire-Atlantique
LE PANORAMIQUE DE LA PRÉE;Restaurant;Cuisine traditionnelle;;66 boulevard de la prée;;44770;;;LA PLAINE-SUR-MER;44126;47.14479;-2.22856;;;02 40 21 50 13;;66panoramique@gmail.com;;;;;;Le petit futé;;;oui;;;Banquet,Séminaire,WiFi;70;1;50;;;;;oui;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.14479, -2.22856;Loire-Atlantique
LE PATIO DU FOUQUET;Restaurant;Cuisine traditionnelle;;26 rue des Sables;;44210;;;PORNIC;44131;47.11496;-2.10328;;;02 51 74 60 04;;lepatiodufouquet@gmail.com;http://www.lepatiodufouquet.com;;;;;;;;oui;;;Plats à emporter,WiFi;30;3;40;;;;;oui;15;40;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.11496, -2.10328;Loire-Atlantique
LE POUL'GRILL;Restaurant;Grill - Rôtisserie;;20 Boulevard de l'Atlantique;;44510;;;LE POULIGUEN;44135;47.27432;-2.43984;;;09 71 51 95 42;;lepoulgrill@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||18:00||20:30||10:00||14:00||18:00||20:30||10:00||14:00||10:00||18:00;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.27432, -2.43984;Loire-Atlantique
LE POZ TOA LA;Restaurant;Crêperie;;31 boulevard du Président Wilson;;44600;;;SAINT-NAZAIRE;44184;47.270375;-2.2112217;Transport en commun||Hôtel de ville||0,65;;02 40 70 30 20;;;;;Facebook||https://www.facebook.com/Le-Poz-Toa-La-1210149509116899/;;;;;;oui;Uniquement les petits chiens;;Service en terrasse;65;1;50;;;;Français;oui;20;30;;01/01/2023||31/12/2023||Ouvert du jeudi au lundi||Fermé le mardi et mercredi||12:00||14:30||18:30||21:30||||||||||||||||||12:00||14:30||18:30||21:30||12:00||14:30||18:30||21:30||12:00||14:30||18:30||21:30||12:00||||||19:30;Mme Saulnier et M. Gailly||02 40 70 30 20||lepoztoala@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.270375, -2.2112217;Loire-Atlantique
